,team,pay_type,question,points,answer,answer_mod,answer_truth,correct,score
67,Bri-Enne Of Green Gables,Paying,02. Daenerys Targaryen,3.0,Lives,Lives,Lives,True,3.0
80,Bronn Swanson,Paying,02. Daenerys Targaryen,3.0,Dies,Dies,Lives,False,0.0
86,Bronn: The Decision,Paying,02. Daenerys Targaryen,3.0,Lives,Lives,Lives,True,3.0
60,"Carolyn of House Tambini, the First of Her Name, Queen of Kings, Burner of Princesses  ",Paying,02. Daenerys Targaryen,3.0,Dies,Dies,Lives,False,0.0
55,Dany Snow,Paying,02. Daenerys Targaryen,3.0,Dies,Dies,Lives,False,0.0
65,Davis the Bastard of Voltron,Paying,02. Daenerys Targaryen,3.0,Dies,Dies,Lives,False,0.0
74,Enjol-Raki ,Paying,02. Daenerys Targaryen,3.0,Dies,Dies,Lives,False,0.0
49,Flea Bottom Feeders,Paying,02. Daenerys Targaryen,3.0,Lives,Lives,Lives,True,3.0
59,House Magnus,Free,02. Daenerys Targaryen,3.0,Dies,Dies,Lives,False,0.0
75,Just Here for CleganeBowl,Paying,02. Daenerys Targaryen,3.0,Dies,Dies,Lives,False,0.0
57,"Lacy of House Garrison, Breaker of Games, Protector of Spoilers, King of West Hollywood, Father of Brad",Paying,02. Daenerys Targaryen,3.0,Lives,Lives,Lives,True,3.0
54,Lady Elizabeth of House Wray,Free,02. Daenerys Targaryen,3.0,Lives,Lives,Lives,True,3.0
84,Lady Kristi of the House of Brooks,Paying,02. Daenerys Targaryen,3.0,Lives,Lives,Lives,True,3.0
76,Lady Stoneheart,Paying,02. Daenerys Targaryen,3.0,Dies,Dies,Lives,False,0.0
68,Lil' Jon Snow White,Paying,02. Daenerys Targaryen,3.0,Dies,Dies,Lives,False,0.0
52,Little Fingers’ Little Finger,Paying,02. Daenerys Targaryen,3.0,Lives,Lives,Lives,True,3.0
87,Lord Ben-ish,Paying,02. Daenerys Targaryen,3.0,Dies,Dies,Lives,False,0.0
81,Matton Of The Hounds,Paying,02. Daenerys Targaryen,3.0,Lives,Lives,Lives,True,3.0
85,Mountain Mellon Crushers,Paying,02. Daenerys Targaryen,3.0,Lives,Lives,Lives,True,3.0
45,No Ygrittes,Paying,02. Daenerys Targaryen,3.0,Lives,Lives,Lives,True,3.0
78,"S'now way, Jose!",Paying,02. Daenerys Targaryen,3.0,Lives,Lives,Lives,True,3.0
50,Safari Ary,Paying,02. Daenerys Targaryen,3.0,Lives,Lives,Lives,True,3.0
51,Sand Snake Realness,Paying,02. Daenerys Targaryen,3.0,Lives,Lives,Lives,True,3.0
82,Sept of Baylor was an Inside job,Paying,02. Daenerys Targaryen,3.0,Dies,Dies,Lives,False,0.0
69,"Ser Dunton, Knight of the Laughing Tree",Paying,02. Daenerys Targaryen,3.0,Dies,Dies,Lives,False,0.0
83,Ser Hand Rale of House Bannister,Paying,02. Daenerys Targaryen,3.0,Lives,Lives,Lives,True,3.0
53,Stark Raving Mad,Paying,02. Daenerys Targaryen,3.0,Dies,Dies,Lives,False,0.0
61,Stop Dragon My Horse Heart Around,Paying,02. Daenerys Targaryen,3.0,Dies,Dies,Lives,False,0.0
47,Sword Swallowers through and through,Paying,02. Daenerys Targaryen,3.0,Lives,Lives,Lives,True,3.0
64,That’s what I do: I drink and I know things.,Paying,02. Daenerys Targaryen,3.0,Lives,Lives,Lives,True,3.0
71,The Ed Sheeran Fan Club,Paying,02. Daenerys Targaryen,3.0,Lives,Lives,Lives,True,3.0
70,The House of Lesbian Poets,Paying,02. Daenerys Targaryen,3.0,Lives,Lives,Lives,True,3.0
79,Tormund's Member Rewards Club,Paying,02. Daenerys Targaryen,3.0,Lives,Lives,Lives,True,3.0
58,Xander's Dragons,Paying,02. Daenerys Targaryen,3.0,Lives,Lives,Lives,True,3.0
62,"Ygritte in the Streets, Khaleesi in the Sheets",Paying,02. Daenerys Targaryen,3.0,Lives,Lives,Lives,True,3.0
90,A Girl Has No Team Name,Paying,03. Jon Snow,3.0,Lives,Lives,Lives,True,3.0
107,A Team Has No Name,Paying,03. Jon Snow,3.0,Lives,Lives,Lives,True,3.0
92,A Wizard of Cersei,Paying,03. Jon Snow,3.0,Lives,Lives,Lives,True,3.0
116,Aaron on the Throne,Paying,03. Jon Snow,3.0,Dies,Dies,Lives,False,0.0
100,All Bronn and no brains,Paying,03. Jon Snow,3.0,Lives,Lives,Lives,True,3.0
121,Arya Dead Yet?,Paying,03. Jon Snow,3.0,Lives,Lives,Lives,True,3.0
110,"Arya Ready Kids? (Aye, Aye, Captain of the Guards!)",Paying,03. Jon Snow,3.0,Lives,Lives,Lives,True,3.0
117,"Breaker of Fasts, Mother of Brunches",Paying,03. Jon Snow,3.0,Dies,Dies,Lives,False,0.0
88,Bri-Anne,Paying,03. Jon Snow,3.0,Lives,Lives,Lives,True,3.0
111,Bri-Enne Of Green Gables,Paying,03. Jon Snow,3.0,Dies,Dies,Lives,False,0.0
124,Bronn Swanson,Paying,03. Jon Snow,3.0,Dies,Dies,Lives,False,0.0
130,Bronn: The Decision,Paying,03. Jon Snow,3.0,Dies,Dies,Lives,False,0.0
104,"Carolyn of House Tambini, the First of Her Name, Queen of Kings, Burner of Princesses  ",Paying,03. Jon Snow,3.0,Lives,Lives,Lives,True,3.0
99,Dany Snow,Paying,03. Jon Snow,3.0,Lives,Lives,Lives,True,3.0
109,Davis the Bastard of Voltron,Paying,03. Jon Snow,3.0,Dies,Dies,Lives,False,0.0
118,Enjol-Raki ,Paying,03. Jon Snow,3.0,Dies,Dies,Lives,False,0.0
93,Flea Bottom Feeders,Paying,03. Jon Snow,3.0,Lives,Lives,Lives,True,3.0
103,House Magnus,Free,03. Jon Snow,3.0,Lives,Lives,Lives,True,3.0
119,Just Here for CleganeBowl,Paying,03. Jon Snow,3.0,Lives,Lives,Lives,True,3.0
101,"Lacy of House Garrison, Breaker of Games, Protector of Spoilers, King of West Hollywood, Father of Brad",Paying,03. Jon Snow,3.0,Lives,Lives,Lives,True,3.0
98,Lady Elizabeth of House Wray,Free,03. Jon Snow,3.0,Dies,Dies,Lives,False,0.0
128,Lady Kristi of the House of Brooks,Paying,03. Jon Snow,3.0,Lives,Lives,Lives,True,3.0
120,Lady Stoneheart,Paying,03. Jon Snow,3.0,Lives,Lives,Lives,True,3.0
112,Lil' Jon Snow White,Paying,03. Jon Snow,3.0,Dies,Dies,Lives,False,0.0
96,Little Fingers’ Little Finger,Paying,03. Jon Snow,3.0,Lives,Lives,Lives,True,3.0
131,Lord Ben-ish,Paying,03. Jon Snow,3.0,Lives,Lives,Lives,True,3.0
125,Matton Of The Hounds,Paying,03. Jon Snow,3.0,Lives,Lives,Lives,True,3.0
129,Mountain Mellon Crushers,Paying,03. Jon Snow,3.0,Lives,Lives,Lives,True,3.0
89,No Ygrittes,Paying,03. Jon Snow,3.0,Dies,Dies,Lives,False,0.0
122,"S'now way, Jose!",Paying,03. Jon Snow,3.0,Dies,Dies,Lives,False,0.0
94,Safari Ary,Paying,03. Jon Snow,3.0,Lives,Lives,Lives,True,3.0
95,Sand Snake Realness,Paying,03. Jon Snow,3.0,Dies,Dies,Lives,False,0.0
126,Sept of Baylor was an Inside job,Paying,03. Jon Snow,3.0,Lives,Lives,Lives,True,3.0
113,"Ser Dunton, Knight of the Laughing Tree",Paying,03. Jon Snow,3.0,Dies,Dies,Lives,False,0.0
127,Ser Hand Rale of House Bannister,Paying,03. Jon Snow,3.0,Lives,Lives,Lives,True,3.0
97,Stark Raving Mad,Paying,03. Jon Snow,3.0,Lives,Lives,Lives,True,3.0
105,Stop Dragon My Horse Heart Around,Paying,03. Jon Snow,3.0,Lives,Lives,Lives,True,3.0
91,Sword Swallowers through and through,Paying,03. Jon Snow,3.0,Lives,Lives,Lives,True,3.0
108,That’s what I do: I drink and I know things.,Paying,03. Jon Snow,3.0,Dies,Dies,Lives,False,0.0
