,team,pay_type,question,points,answer,answer_mod,answer_truth,correct,score
238,"Ygritte in the Streets, Khaleesi in the Sheets",Paying,06. Bran Stark,2.0,Dies,Dies,Lives,False,0.0
266,A Girl Has No Team Name,Paying,07. Brienne of Tarth,2.0,Dies,Dies,Lives,False,0.0
283,A Team Has No Name,Paying,07. Brienne of Tarth,2.0,Dies,Dies,Lives,False,0.0
268,A Wizard of Cersei,Paying,07. Brienne of Tarth,2.0,Dies,Dies,Lives,False,0.0
292,Aaron on the Throne,Paying,07. Brienne of Tarth,2.0,Dies,Dies,Lives,False,0.0
276,All Bronn and no brains,Paying,07. Brienne of Tarth,2.0,Lives,Lives,Lives,True,2.0
297,Arya Dead Yet?,Paying,07. Brienne of Tarth,2.0,Dies,Dies,Lives,False,0.0
286,"Arya Ready Kids? (Aye, Aye, Captain of the Guards!)",Paying,07. Brienne of Tarth,2.0,Dies,Dies,Lives,False,0.0
293,"Breaker of Fasts, Mother of Brunches",Paying,07. Brienne of Tarth,2.0,Dies,Dies,Lives,False,0.0
264,Bri-Anne,Paying,07. Brienne of Tarth,2.0,Dies,Dies,Lives,False,0.0
287,Bri-Enne Of Green Gables,Paying,07. Brienne of Tarth,2.0,Lives,Lives,Lives,True,2.0
300,Bronn Swanson,Paying,07. Brienne of Tarth,2.0,Dies,Dies,Lives,False,0.0
306,Bronn: The Decision,Paying,07. Brienne of Tarth,2.0,Dies,Dies,Lives,False,0.0
280,"Carolyn of House Tambini, the First of Her Name, Queen of Kings, Burner of Princesses  ",Paying,07. Brienne of Tarth,2.0,Lives,Lives,Lives,True,2.0
275,Dany Snow,Paying,07. Brienne of Tarth,2.0,Dies,Dies,Lives,False,0.0
285,Davis the Bastard of Voltron,Paying,07. Brienne of Tarth,2.0,Lives,Lives,Lives,True,2.0
294,Enjol-Raki ,Paying,07. Brienne of Tarth,2.0,Dies,Dies,Lives,False,0.0
269,Flea Bottom Feeders,Paying,07. Brienne of Tarth,2.0,Dies,Dies,Lives,False,0.0
279,House Magnus,Free,07. Brienne of Tarth,2.0,Lives,Lives,Lives,True,2.0
295,Just Here for CleganeBowl,Paying,07. Brienne of Tarth,2.0,Dies,Dies,Lives,False,0.0
277,"Lacy of House Garrison, Breaker of Games, Protector of Spoilers, King of West Hollywood, Father of Brad",Paying,07. Brienne of Tarth,2.0,Lives,Lives,Lives,True,2.0
274,Lady Elizabeth of House Wray,Free,07. Brienne of Tarth,2.0,Dies,Dies,Lives,False,0.0
304,Lady Kristi of the House of Brooks,Paying,07. Brienne of Tarth,2.0,Dies,Dies,Lives,False,0.0
296,Lady Stoneheart,Paying,07. Brienne of Tarth,2.0,Dies,Dies,Lives,False,0.0
288,Lil' Jon Snow White,Paying,07. Brienne of Tarth,2.0,Lives,Lives,Lives,True,2.0
272,Little Fingers’ Little Finger,Paying,07. Brienne of Tarth,2.0,Lives,Lives,Lives,True,2.0
307,Lord Ben-ish,Paying,07. Brienne of Tarth,2.0,Lives,Lives,Lives,True,2.0
301,Matton Of The Hounds,Paying,07. Brienne of Tarth,2.0,Dies,Dies,Lives,False,0.0
305,Mountain Mellon Crushers,Paying,07. Brienne of Tarth,2.0,Dies,Dies,Lives,False,0.0
265,No Ygrittes,Paying,07. Brienne of Tarth,2.0,Dies,Dies,Lives,False,0.0
298,"S'now way, Jose!",Paying,07. Brienne of Tarth,2.0,Lives,Lives,Lives,True,2.0
270,Safari Ary,Paying,07. Brienne of Tarth,2.0,Lives,Lives,Lives,True,2.0
271,Sand Snake Realness,Paying,07. Brienne of Tarth,2.0,Dies,Dies,Lives,False,0.0
302,Sept of Baylor was an Inside job,Paying,07. Brienne of Tarth,2.0,Dies,Dies,Lives,False,0.0
289,"Ser Dunton, Knight of the Laughing Tree",Paying,07. Brienne of Tarth,2.0,Dies,Dies,Lives,False,0.0
303,Ser Hand Rale of House Bannister,Paying,07. Brienne of Tarth,2.0,Lives,Lives,Lives,True,2.0
273,Stark Raving Mad,Paying,07. Brienne of Tarth,2.0,Dies,Dies,Lives,False,0.0
281,Stop Dragon My Horse Heart Around,Paying,07. Brienne of Tarth,2.0,Lives,Lives,Lives,True,2.0
267,Sword Swallowers through and through,Paying,07. Brienne of Tarth,2.0,Dies,Dies,Lives,False,0.0
284,That’s what I do: I drink and I know things.,Paying,07. Brienne of Tarth,2.0,Dies,Dies,Lives,False,0.0
291,The Ed Sheeran Fan Club,Paying,07. Brienne of Tarth,2.0,Dies,Dies,Lives,False,0.0
290,The House of Lesbian Poets,Paying,07. Brienne of Tarth,2.0,Dies,Dies,Lives,False,0.0
299,Tormund's Member Rewards Club,Paying,07. Brienne of Tarth,2.0,Dies,Dies,Lives,False,0.0
278,Xander's Dragons,Paying,07. Brienne of Tarth,2.0,Dies,Dies,Lives,False,0.0
282,"Ygritte in the Streets, Khaleesi in the Sheets",Paying,07. Brienne of Tarth,2.0,Dies,Dies,Lives,False,0.0
310,A Girl Has No Team Name,Paying,08. Cersei Lannister,2.0,Dies,Dies,Lives,False,0.0
327,A Team Has No Name,Paying,08. Cersei Lannister,2.0,Dies,Dies,Lives,False,0.0
312,A Wizard of Cersei,Paying,08. Cersei Lannister,2.0,Dies,Dies,Lives,False,0.0
336,Aaron on the Throne,Paying,08. Cersei Lannister,2.0,Dies,Dies,Lives,False,0.0
320,All Bronn and no brains,Paying,08. Cersei Lannister,2.0,Dies,Dies,Lives,False,0.0
341,Arya Dead Yet?,Paying,08. Cersei Lannister,2.0,Dies,Dies,Lives,False,0.0
330,"Arya Ready Kids? (Aye, Aye, Captain of the Guards!)",Paying,08. Cersei Lannister,2.0,Dies,Dies,Lives,False,0.0
337,"Breaker of Fasts, Mother of Brunches",Paying,08. Cersei Lannister,2.0,Dies,Dies,Lives,False,0.0
308,Bri-Anne,Paying,08. Cersei Lannister,2.0,Dies,Dies,Lives,False,0.0
331,Bri-Enne Of Green Gables,Paying,08. Cersei Lannister,2.0,Dies,Dies,Lives,False,0.0
344,Bronn Swanson,Paying,08. Cersei Lannister,2.0,Dies,Dies,Lives,False,0.0
350,Bronn: The Decision,Paying,08. Cersei Lannister,2.0,Dies,Dies,Lives,False,0.0
324,"Carolyn of House Tambini, the First of Her Name, Queen of Kings, Burner of Princesses  ",Paying,08. Cersei Lannister,2.0,Dies,Dies,Lives,False,0.0
319,Dany Snow,Paying,08. Cersei Lannister,2.0,Dies,Dies,Lives,False,0.0
329,Davis the Bastard of Voltron,Paying,08. Cersei Lannister,2.0,Dies,Dies,Lives,False,0.0
338,Enjol-Raki ,Paying,08. Cersei Lannister,2.0,Dies,Dies,Lives,False,0.0
313,Flea Bottom Feeders,Paying,08. Cersei Lannister,2.0,Lives,Lives,Lives,True,2.0
323,House Magnus,Free,08. Cersei Lannister,2.0,Lives,Lives,Lives,True,2.0
339,Just Here for CleganeBowl,Paying,08. Cersei Lannister,2.0,Dies,Dies,Lives,False,0.0
321,"Lacy of House Garrison, Breaker of Games, Protector of Spoilers, King of West Hollywood, Father of Brad",Paying,08. Cersei Lannister,2.0,Dies,Dies,Lives,False,0.0
318,Lady Elizabeth of House Wray,Free,08. Cersei Lannister,2.0,Dies,Dies,Lives,False,0.0
348,Lady Kristi of the House of Brooks,Paying,08. Cersei Lannister,2.0,Lives,Lives,Lives,True,2.0
340,Lady Stoneheart,Paying,08. Cersei Lannister,2.0,Dies,Dies,Lives,False,0.0
332,Lil' Jon Snow White,Paying,08. Cersei Lannister,2.0,Dies,Dies,Lives,False,0.0
316,Little Fingers’ Little Finger,Paying,08. Cersei Lannister,2.0,Dies,Dies,Lives,False,0.0
351,Lord Ben-ish,Paying,08. Cersei Lannister,2.0,Dies,Dies,Lives,False,0.0
345,Matton Of The Hounds,Paying,08. Cersei Lannister,2.0,Dies,Dies,Lives,False,0.0
349,Mountain Mellon Crushers,Paying,08. Cersei Lannister,2.0,Dies,Dies,Lives,False,0.0
309,No Ygrittes,Paying,08. Cersei Lannister,2.0,Dies,Dies,Lives,False,0.0
342,"S'now way, Jose!",Paying,08. Cersei Lannister,2.0,Dies,Dies,Lives,False,0.0
314,Safari Ary,Paying,08. Cersei Lannister,2.0,Lives,Lives,Lives,True,2.0
315,Sand Snake Realness,Paying,08. Cersei Lannister,2.0,Dies,Dies,Lives,False,0.0
346,Sept of Baylor was an Inside job,Paying,08. Cersei Lannister,2.0,Dies,Dies,Lives,False,0.0
333,"Ser Dunton, Knight of the Laughing Tree",Paying,08. Cersei Lannister,2.0,Dies,Dies,Lives,False,0.0
347,Ser Hand Rale of House Bannister,Paying,08. Cersei Lannister,2.0,Dies,Dies,Lives,False,0.0
317,Stark Raving Mad,Paying,08. Cersei Lannister,2.0,Dies,Dies,Lives,False,0.0
325,Stop Dragon My Horse Heart Around,Paying,08. Cersei Lannister,2.0,Dies,Dies,Lives,False,0.0
311,Sword Swallowers through and through,Paying,08. Cersei Lannister,2.0,Dies,Dies,Lives,False,0.0
328,That’s what I do: I drink and I know things.,Paying,08. Cersei Lannister,2.0,Dies,Dies,Lives,False,0.0
335,The Ed Sheeran Fan Club,Paying,08. Cersei Lannister,2.0,Dies,Dies,Lives,False,0.0
334,The House of Lesbian Poets,Paying,08. Cersei Lannister,2.0,Dies,Dies,Lives,False,0.0
343,Tormund's Member Rewards Club,Paying,08. Cersei Lannister,2.0,Dies,Dies,Lives,False,0.0
322,Xander's Dragons,Paying,08. Cersei Lannister,2.0,Dies,Dies,Lives,False,0.0
326,"Ygritte in the Streets, Khaleesi in the Sheets",Paying,08. Cersei Lannister,2.0,Dies,Dies,Lives,False,0.0
354,A Girl Has No Team Name,Paying,09. Davos Seaworth,2.0,Lives,Lives,Lives,True,2.0
371,A Team Has No Name,Paying,09. Davos Seaworth,2.0,Dies,Dies,Lives,False,0.0
356,A Wizard of Cersei,Paying,09. Davos Seaworth,2.0,Lives,Lives,Lives,True,2.0
380,Aaron on the Throne,Paying,09. Davos Seaworth,2.0,Dies,Dies,Lives,False,0.0
364,All Bronn and no brains,Paying,09. Davos Seaworth,2.0,Lives,Lives,Lives,True,2.0
385,Arya Dead Yet?,Paying,09. Davos Seaworth,2.0,Dies,Dies,Lives,False,0.0
374,"Arya Ready Kids? (Aye, Aye, Captain of the Guards!)",Paying,09. Davos Seaworth,2.0,Lives,Lives,Lives,True,2.0
381,"Breaker of Fasts, Mother of Brunches",Paying,09. Davos Seaworth,2.0,Dies,Dies,Lives,False,0.0
352,Bri-Anne,Paying,09. Davos Seaworth,2.0,Dies,Dies,Lives,False,0.0
375,Bri-Enne Of Green Gables,Paying,09. Davos Seaworth,2.0,Dies,Dies,Lives,False,0.0
388,Bronn Swanson,Paying,09. Davos Seaworth,2.0,Dies,Dies,Lives,False,0.0
394,Bronn: The Decision,Paying,09. Davos Seaworth,2.0,Dies,Dies,Lives,False,0.0
368,"Carolyn of House Tambini, the First of Her Name, Queen of Kings, Burner of Princesses  ",Paying,09. Davos Seaworth,2.0,Dies,Dies,Lives,False,0.0
363,Dany Snow,Paying,09. Davos Seaworth,2.0,Lives,Lives,Lives,True,2.0
373,Davis the Bastard of Voltron,Paying,09. Davos Seaworth,2.0,Lives,Lives,Lives,True,2.0
382,Enjol-Raki ,Paying,09. Davos Seaworth,2.0,Dies,Dies,Lives,False,0.0
357,Flea Bottom Feeders,Paying,09. Davos Seaworth,2.0,Dies,Dies,Lives,False,0.0
367,House Magnus,Free,09. Davos Seaworth,2.0,Dies,Dies,Lives,False,0.0
383,Just Here for CleganeBowl,Paying,09. Davos Seaworth,2.0,Dies,Dies,Lives,False,0.0
365,"Lacy of House Garrison, Breaker of Games, Protector of Spoilers, King of West Hollywood, Father of Brad",Paying,09. Davos Seaworth,2.0,Lives,Lives,Lives,True,2.0
362,Lady Elizabeth of House Wray,Free,09. Davos Seaworth,2.0,Dies,Dies,Lives,False,0.0
392,Lady Kristi of the House of Brooks,Paying,09. Davos Seaworth,2.0,Dies,Dies,Lives,False,0.0
384,Lady Stoneheart,Paying,09. Davos Seaworth,2.0,Lives,Lives,Lives,True,2.0
376,Lil' Jon Snow White,Paying,09. Davos Seaworth,2.0,Lives,Lives,Lives,True,2.0
360,Little Fingers’ Little Finger,Paying,09. Davos Seaworth,2.0,Lives,Lives,Lives,True,2.0
395,Lord Ben-ish,Paying,09. Davos Seaworth,2.0,Lives,Lives,Lives,True,2.0
389,Matton Of The Hounds,Paying,09. Davos Seaworth,2.0,Lives,Lives,Lives,True,2.0
393,Mountain Mellon Crushers,Paying,09. Davos Seaworth,2.0,Dies,Dies,Lives,False,0.0
353,No Ygrittes,Paying,09. Davos Seaworth,2.0,Lives,Lives,Lives,True,2.0
386,"S'now way, Jose!",Paying,09. Davos Seaworth,2.0,Dies,Dies,Lives,False,0.0
358,Safari Ary,Paying,09. Davos Seaworth,2.0,Lives,Lives,Lives,True,2.0
359,Sand Snake Realness,Paying,09. Davos Seaworth,2.0,Dies,Dies,Lives,False,0.0
390,Sept of Baylor was an Inside job,Paying,09. Davos Seaworth,2.0,Dies,Dies,Lives,False,0.0
377,"Ser Dunton, Knight of the Laughing Tree",Paying,09. Davos Seaworth,2.0,Lives,Lives,Lives,True,2.0
391,Ser Hand Rale of House Bannister,Paying,09. Davos Seaworth,2.0,Lives,Lives,Lives,True,2.0
361,Stark Raving Mad,Paying,09. Davos Seaworth,2.0,Dies,Dies,Lives,False,0.0
369,Stop Dragon My Horse Heart Around,Paying,09. Davos Seaworth,2.0,Lives,Lives,Lives,True,2.0
355,Sword Swallowers through and through,Paying,09. Davos Seaworth,2.0,Dies,Dies,Lives,False,0.0
372,That’s what I do: I drink and I know things.,Paying,09. Davos Seaworth,2.0,Dies,Dies,Lives,False,0.0
379,The Ed Sheeran Fan Club,Paying,09. Davos Seaworth,2.0,Lives,Lives,Lives,True,2.0
378,The House of Lesbian Poets,Paying,09. Davos Seaworth,2.0,Lives,Lives,Lives,True,2.0
387,Tormund's Member Rewards Club,Paying,09. Davos Seaworth,2.0,Lives,Lives,Lives,True,2.0
366,Xander's Dragons,Paying,09. Davos Seaworth,2.0,Dies,Dies,Lives,False,0.0
370,"Ygritte in the Streets, Khaleesi in the Sheets",Paying,09. Davos Seaworth,2.0,Dies,Dies,Lives,False,0.0
398,A Girl Has No Team Name,Paying,10. Jaime Lannister,2.0,Lives,Lives,Lives,True,2.0
415,A Team Has No Name,Paying,10. Jaime Lannister,2.0,Dies,Dies,Lives,False,0.0
400,A Wizard of Cersei,Paying,10. Jaime Lannister,2.0,Dies,Dies,Lives,False,0.0
424,Aaron on the Throne,Paying,10. Jaime Lannister,2.0,Lives,Lives,Lives,True,2.0
408,All Bronn and no brains,Paying,10. Jaime Lannister,2.0,Dies,Dies,Lives,False,0.0
429,Arya Dead Yet?,Paying,10. Jaime Lannister,2.0,Lives,Lives,Lives,True,2.0
418,"Arya Ready Kids? (Aye, Aye, Captain of the Guards!)",Paying,10. Jaime Lannister,2.0,Dies,Dies,Lives,False,0.0
425,"Breaker of Fasts, Mother of Brunches",Paying,10. Jaime Lannister,2.0,Lives,Lives,Lives,True,2.0
396,Bri-Anne,Paying,10. Jaime Lannister,2.0,Lives,Lives,Lives,True,2.0
419,Bri-Enne Of Green Gables,Paying,10. Jaime Lannister,2.0,Dies,Dies,Lives,False,0.0
432,Bronn Swanson,Paying,10. Jaime Lannister,2.0,Lives,Lives,Lives,True,2.0
438,Bronn: The Decision,Paying,10. Jaime Lannister,2.0,Dies,Dies,Lives,False,0.0
412,"Carolyn of House Tambini, the First of Her Name, Queen of Kings, Burner of Princesses  ",Paying,10. Jaime Lannister,2.0,Lives,Lives,Lives,True,2.0
407,Dany Snow,Paying,10. Jaime Lannister,2.0,Lives,Lives,Lives,True,2.0
417,Davis the Bastard of Voltron,Paying,10. Jaime Lannister,2.0,Lives,Lives,Lives,True,2.0
426,Enjol-Raki ,Paying,10. Jaime Lannister,2.0,Dies,Dies,Lives,False,0.0
401,Flea Bottom Feeders,Paying,10. Jaime Lannister,2.0,Dies,Dies,Lives,False,0.0
411,House Magnus,Free,10. Jaime Lannister,2.0,Dies,Dies,Lives,False,0.0
427,Just Here for CleganeBowl,Paying,10. Jaime Lannister,2.0,Dies,Dies,Lives,False,0.0
409,"Lacy of House Garrison, Breaker of Games, Protector of Spoilers, King of West Hollywood, Father of Brad",Paying,10. Jaime Lannister,2.0,Dies,Dies,Lives,False,0.0
406,Lady Elizabeth of House Wray,Free,10. Jaime Lannister,2.0,Lives,Lives,Lives,True,2.0
436,Lady Kristi of the House of Brooks,Paying,10. Jaime Lannister,2.0,Lives,Lives,Lives,True,2.0
428,Lady Stoneheart,Paying,10. Jaime Lannister,2.0,Lives,Lives,Lives,True,2.0
420,Lil' Jon Snow White,Paying,10. Jaime Lannister,2.0,Dies,Dies,Lives,False,0.0
404,Little Fingers’ Little Finger,Paying,10. Jaime Lannister,2.0,Dies,Dies,Lives,False,0.0
439,Lord Ben-ish,Paying,10. Jaime Lannister,2.0,Dies,Dies,Lives,False,0.0
433,Matton Of The Hounds,Paying,10. Jaime Lannister,2.0,Dies,Dies,Lives,False,0.0
437,Mountain Mellon Crushers,Paying,10. Jaime Lannister,2.0,Lives,Lives,Lives,True,2.0
397,No Ygrittes,Paying,10. Jaime Lannister,2.0,Dies,Dies,Lives,False,0.0
430,"S'now way, Jose!",Paying,10. Jaime Lannister,2.0,Dies,Dies,Lives,False,0.0
402,Safari Ary,Paying,10. Jaime Lannister,2.0,Lives,Lives,Lives,True,2.0
403,Sand Snake Realness,Paying,10. Jaime Lannister,2.0,Dies,Dies,Lives,False,0.0
434,Sept of Baylor was an Inside job,Paying,10. Jaime Lannister,2.0,Lives,Lives,Lives,True,2.0
421,"Ser Dunton, Knight of the Laughing Tree",Paying,10. Jaime Lannister,2.0,Dies,Dies,Lives,False,0.0
435,Ser Hand Rale of House Bannister,Paying,10. Jaime Lannister,2.0,Dies,Dies,Lives,False,0.0
405,Stark Raving Mad,Paying,10. Jaime Lannister,2.0,Lives,Lives,Lives,True,2.0
413,Stop Dragon My Horse Heart Around,Paying,10. Jaime Lannister,2.0,Dies,Dies,Lives,False,0.0
399,Sword Swallowers through and through,Paying,10. Jaime Lannister,2.0,Lives,Lives,Lives,True,2.0
416,That’s what I do: I drink and I know things.,Paying,10. Jaime Lannister,2.0,Dies,Dies,Lives,False,0.0
423,The Ed Sheeran Fan Club,Paying,10. Jaime Lannister,2.0,Lives,Lives,Lives,True,2.0
422,The House of Lesbian Poets,Paying,10. Jaime Lannister,2.0,Dies,Dies,Lives,False,0.0
431,Tormund's Member Rewards Club,Paying,10. Jaime Lannister,2.0,Dies,Dies,Lives,False,0.0
410,Xander's Dragons,Paying,10. Jaime Lannister,2.0,Dies,Dies,Lives,False,0.0
414,"Ygritte in the Streets, Khaleesi in the Sheets",Paying,10. Jaime Lannister,2.0,Dies,Dies,Lives,False,0.0
442,A Girl Has No Team Name,Paying,11. Jorah Mormont,2.0,Dies,Dies,Lives,False,0.0
459,A Team Has No Name,Paying,11. Jorah Mormont,2.0,Dies,Dies,Lives,False,0.0
444,A Wizard of Cersei,Paying,11. Jorah Mormont,2.0,Dies,Dies,Lives,False,0.0
468,Aaron on the Throne,Paying,11. Jorah Mormont,2.0,Dies,Dies,Lives,False,0.0
452,All Bronn and no brains,Paying,11. Jorah Mormont,2.0,Lives,Lives,Lives,True,2.0
473,Arya Dead Yet?,Paying,11. Jorah Mormont,2.0,Lives,Lives,Lives,True,2.0
462,"Arya Ready Kids? (Aye, Aye, Captain of the Guards!)",Paying,11. Jorah Mormont,2.0,Dies,Dies,Lives,False,0.0
469,"Breaker of Fasts, Mother of Brunches",Paying,11. Jorah Mormont,2.0,Dies,Dies,Lives,False,0.0
440,Bri-Anne,Paying,11. Jorah Mormont,2.0,Dies,Dies,Lives,False,0.0
463,Bri-Enne Of Green Gables,Paying,11. Jorah Mormont,2.0,Dies,Dies,Lives,False,0.0
476,Bronn Swanson,Paying,11. Jorah Mormont,2.0,Dies,Dies,Lives,False,0.0
482,Bronn: The Decision,Paying,11. Jorah Mormont,2.0,Dies,Dies,Lives,False,0.0
456,"Carolyn of House Tambini, the First of Her Name, Queen of Kings, Burner of Princesses  ",Paying,11. Jorah Mormont,2.0,Dies,Dies,Lives,False,0.0
451,Dany Snow,Paying,11. Jorah Mormont,2.0,Dies,Dies,Lives,False,0.0
461,Davis the Bastard of Voltron,Paying,11. Jorah Mormont,2.0,Dies,Dies,Lives,False,0.0
470,Enjol-Raki ,Paying,11. Jorah Mormont,2.0,Dies,Dies,Lives,False,0.0
445,Flea Bottom Feeders,Paying,11. Jorah Mormont,2.0,Dies,Dies,Lives,False,0.0
455,House Magnus,Free,11. Jorah Mormont,2.0,Dies,Dies,Lives,False,0.0
471,Just Here for CleganeBowl,Paying,11. Jorah Mormont,2.0,Dies,Dies,Lives,False,0.0
453,"Lacy of House Garrison, Breaker of Games, Protector of Spoilers, King of West Hollywood, Father of Brad",Paying,11. Jorah Mormont,2.0,Dies,Dies,Lives,False,0.0
450,Lady Elizabeth of House Wray,Free,11. Jorah Mormont,2.0,Dies,Dies,Lives,False,0.0
480,Lady Kristi of the House of Brooks,Paying,11. Jorah Mormont,2.0,Dies,Dies,Lives,False,0.0
472,Lady Stoneheart,Paying,11. Jorah Mormont,2.0,Dies,Dies,Lives,False,0.0
464,Lil' Jon Snow White,Paying,11. Jorah Mormont,2.0,Dies,Dies,Lives,False,0.0
448,Little Fingers’ Little Finger,Paying,11. Jorah Mormont,2.0,Dies,Dies,Lives,False,0.0
483,Lord Ben-ish,Paying,11. Jorah Mormont,2.0,Dies,Dies,Lives,False,0.0
477,Matton Of The Hounds,Paying,11. Jorah Mormont,2.0,Dies,Dies,Lives,False,0.0
481,Mountain Mellon Crushers,Paying,11. Jorah Mormont,2.0,Dies,Dies,Lives,False,0.0
441,No Ygrittes,Paying,11. Jorah Mormont,2.0,Dies,Dies,Lives,False,0.0
474,"S'now way, Jose!",Paying,11. Jorah Mormont,2.0,Dies,Dies,Lives,False,0.0
446,Safari Ary,Paying,11. Jorah Mormont,2.0,Lives,Lives,Lives,True,2.0
447,Sand Snake Realness,Paying,11. Jorah Mormont,2.0,Dies,Dies,Lives,False,0.0
478,Sept of Baylor was an Inside job,Paying,11. Jorah Mormont,2.0,Dies,Dies,Lives,False,0.0
465,"Ser Dunton, Knight of the Laughing Tree",Paying,11. Jorah Mormont,2.0,Dies,Dies,Lives,False,0.0
479,Ser Hand Rale of House Bannister,Paying,11. Jorah Mormont,2.0,Dies,Dies,Lives,False,0.0
449,Stark Raving Mad,Paying,11. Jorah Mormont,2.0,Dies,Dies,Lives,False,0.0
457,Stop Dragon My Horse Heart Around,Paying,11. Jorah Mormont,2.0,Dies,Dies,Lives,False,0.0
443,Sword Swallowers through and through,Paying,11. Jorah Mormont,2.0,Dies,Dies,Lives,False,0.0
460,That’s what I do: I drink and I know things.,Paying,11. Jorah Mormont,2.0,Dies,Dies,Lives,False,0.0
467,The Ed Sheeran Fan Club,Paying,11. Jorah Mormont,2.0,Lives,Lives,Lives,True,2.0
466,The House of Lesbian Poets,Paying,11. Jorah Mormont,2.0,Dies,Dies,Lives,False,0.0
475,Tormund's Member Rewards Club,Paying,11. Jorah Mormont,2.0,Dies,Dies,Lives,False,0.0
454,Xander's Dragons,Paying,11. Jorah Mormont,2.0,Dies,Dies,Lives,False,0.0
458,"Ygritte in the Streets, Khaleesi in the Sheets",Paying,11. Jorah Mormont,2.0,Dies,Dies,Lives,False,0.0
486,A Girl Has No Team Name,Paying,12. Samwell Tarly,2.0,Lives,Lives,Lives,True,2.0
503,A Team Has No Name,Paying,12. Samwell Tarly,2.0,Lives,Lives,Lives,True,2.0
488,A Wizard of Cersei,Paying,12. Samwell Tarly,2.0,Lives,Lives,Lives,True,2.0
512,Aaron on the Throne,Paying,12. Samwell Tarly,2.0,Lives,Lives,Lives,True,2.0
496,All Bronn and no brains,Paying,12. Samwell Tarly,2.0,Lives,Lives,Lives,True,2.0
517,Arya Dead Yet?,Paying,12. Samwell Tarly,2.0,Dies,Dies,Lives,False,0.0
506,"Arya Ready Kids? (Aye, Aye, Captain of the Guards!)",Paying,12. Samwell Tarly,2.0,Dies,Dies,Lives,False,0.0
513,"Breaker of Fasts, Mother of Brunches",Paying,12. Samwell Tarly,2.0,Lives,Lives,Lives,True,2.0
484,Bri-Anne,Paying,12. Samwell Tarly,2.0,Lives,Lives,Lives,True,2.0
507,Bri-Enne Of Green Gables,Paying,12. Samwell Tarly,2.0,Lives,Lives,Lives,True,2.0
520,Bronn Swanson,Paying,12. Samwell Tarly,2.0,Lives,Lives,Lives,True,2.0
526,Bronn: The Decision,Paying,12. Samwell Tarly,2.0,Lives,Lives,Lives,True,2.0
500,"Carolyn of House Tambini, the First of Her Name, Queen of Kings, Burner of Princesses  ",Paying,12. Samwell Tarly,2.0,Lives,Lives,Lives,True,2.0
495,Dany Snow,Paying,12. Samwell Tarly,2.0,Lives,Lives,Lives,True,2.0
505,Davis the Bastard of Voltron,Paying,12. Samwell Tarly,2.0,Lives,Lives,Lives,True,2.0
514,Enjol-Raki ,Paying,12. Samwell Tarly,2.0,Dies,Dies,Lives,False,0.0
489,Flea Bottom Feeders,Paying,12. Samwell Tarly,2.0,Lives,Lives,Lives,True,2.0
499,House Magnus,Free,12. Samwell Tarly,2.0,Lives,Lives,Lives,True,2.0
515,Just Here for CleganeBowl,Paying,12. Samwell Tarly,2.0,Dies,Dies,Lives,False,0.0
497,"Lacy of House Garrison, Breaker of Games, Protector of Spoilers, King of West Hollywood, Father of Brad",Paying,12. Samwell Tarly,2.0,Lives,Lives,Lives,True,2.0
494,Lady Elizabeth of House Wray,Free,12. Samwell Tarly,2.0,Dies,Dies,Lives,False,0.0
524,Lady Kristi of the House of Brooks,Paying,12. Samwell Tarly,2.0,Lives,Lives,Lives,True,2.0
516,Lady Stoneheart,Paying,12. Samwell Tarly,2.0,Lives,Lives,Lives,True,2.0
508,Lil' Jon Snow White,Paying,12. Samwell Tarly,2.0,Lives,Lives,Lives,True,2.0
492,Little Fingers’ Little Finger,Paying,12. Samwell Tarly,2.0,Lives,Lives,Lives,True,2.0
527,Lord Ben-ish,Paying,12. Samwell Tarly,2.0,Lives,Lives,Lives,True,2.0
521,Matton Of The Hounds,Paying,12. Samwell Tarly,2.0,Lives,Lives,Lives,True,2.0
525,Mountain Mellon Crushers,Paying,12. Samwell Tarly,2.0,Lives,Lives,Lives,True,2.0
485,No Ygrittes,Paying,12. Samwell Tarly,2.0,Lives,Lives,Lives,True,2.0
518,"S'now way, Jose!",Paying,12. Samwell Tarly,2.0,Lives,Lives,Lives,True,2.0
490,Safari Ary,Paying,12. Samwell Tarly,2.0,Lives,Lives,Lives,True,2.0
491,Sand Snake Realness,Paying,12. Samwell Tarly,2.0,Lives,Lives,Lives,True,2.0
522,Sept of Baylor was an Inside job,Paying,12. Samwell Tarly,2.0,Lives,Lives,Lives,True,2.0
509,"Ser Dunton, Knight of the Laughing Tree",Paying,12. Samwell Tarly,2.0,Lives,Lives,Lives,True,2.0
523,Ser Hand Rale of House Bannister,Paying,12. Samwell Tarly,2.0,Lives,Lives,Lives,True,2.0
493,Stark Raving Mad,Paying,12. Samwell Tarly,2.0,Lives,Lives,Lives,True,2.0
501,Stop Dragon My Horse Heart Around,Paying,12. Samwell Tarly,2.0,Lives,Lives,Lives,True,2.0
487,Sword Swallowers through and through,Paying,12. Samwell Tarly,2.0,Lives,Lives,Lives,True,2.0
504,That’s what I do: I drink and I know things.,Paying,12. Samwell Tarly,2.0,Lives,Lives,Lives,True,2.0
511,The Ed Sheeran Fan Club,Paying,12. Samwell Tarly,2.0,Lives,Lives,Lives,True,2.0
